procedure_name,speciality_classification,cost_inr
11 Cells Panel for Antibody Identification,Laboratory Investigation,2298.067222222222
131-Iodine Therapy 15-50mCi,Radio-Isotope Therapy,11261.0895
131-Iodine Therapy 51-100mCi,Radio-Isotope Therapy,14243.919
131-Iodine Therapy <15mCi,Radio-Isotope Therapy,7441.736315789473
131-Iodine Therapy >100mCi,Radio-Isotope Therapy,19732.5425
17 Hydroxyprogesterone (17 OH Progesterone),Laboratory Investigation,759.9970000000001
1st trimester scan-dating scan/NT scan/Early pregnancy scan,Radiological Investigation,691.595
24 Hr urinary aldosterone,Laboratory Investigation,1487.3057894736842
"24 Hrs Urine for Proteins, Sodium, Creatinine",Laboratory Investigation,301.01894736842104
24-hour urinary free cortisol,Laboratory Investigation,745.7189999999999
2D Transoesophageal Echocardiography (TEE),Radiological Investigation,1643.122
2D echocardiography,Radiological Investigation,1474.2305555555556
3 Cell Panel- Antibody Screening for Pregnant Female,Laboratory Investigation,1042.1765
30% to 50% Burns 1st Dressing,Burns And Plastic Surgery Procedure,4977.703157894737
30% to 50% Burns Subsequent Dressing,Burns And Plastic Surgery Procedure,3506.1365
3D Transoesophageal Echocardiography (TEE),Radiological Investigation,1649.2400000000002
6 Minute Walk Test,Pulmonology Investigation,499.8545
90 D lens examination/Three mirror examination for retina - Both Eyes,Ophthalmology Investigation,148.70631578947368
"A, B, DR Molecular Typing PCR - SSP",Oncology Investigations,10298.299
"ABL Kinase Domain Mutation for Chronic Myeloid leukemia (TKI Resistance, Imatinib Resistance",Oncology Investigations,8049.738947368422
"ABL Kinase Domain Mutation for Ph Positive Acute Lymphoblastic leukemia (TKI Resistance, I",Oncology Investigations,8166.417777777777
ABO incompatible Transplantation,Nephrology And Urology Procedure,568335.5055
AC wash per eye,Ophthalmology Procedure,4997.321111111111
ADA( Adenosine deaminase),Laboratory Investigation,655.24
ALK -1,Oncology Investigations,4694.7605
ALK rearrangement: 2p23,Oncology Investigations,4705.018
ALT-Argon laser trabeculoplasty per eye,Ophthalmology Procedure,5003.1215
