procedure,specialty
11 Cells Panel for Antibody Identification,Laboratory Investigation
131-Iodine Therapy 15-50mCi,Radio-Isotope Therapy
131-Iodine Therapy 51-100mCi,Radio-Isotope Therapy
131-Iodine Therapy <15mCi,Radio-Isotope Therapy
131-Iodine Therapy >100mCi,Radio-Isotope Therapy
17 Hydroxyprogesterone (17 OH Progesterone),Laboratory Investigation
1st trimester scan-dating scan/NT scan/Early pregnancy scan,Radiological Investigation
24 Hr urinary aldosterone,Laboratory Investigation
"24 Hrs Urine for Proteins, Sodium, Creatinine",Laboratory Investigation
24-hour urinary free cortisol,Laboratory Investigation
2D Transoesophageal Echocardiography (TEE),Radiological Investigation
2D echocardiography,Radiological Investigation
3 Cell Panel- Antibody Screening for Pregnant Female,Laboratory Investigation
30% to 50% Burns 1st Dressing,Burns And Plastic Surgery Procedure
30% to 50% Burns Subsequent Dressing,Burns And Plastic Surgery Procedure
3D Transoesophageal Echocardiography (TEE),Radiological Investigation
6 Minute Walk Test,Pulmonology Investigation
90 D lens examination/Three mirror examination for retina - Both Eyes,Ophthalmology Investigation
"A, B, DR Molecular Typing PCR - SSP",Oncology Investigations
"ABL Kinase Domain Mutation for Chronic Myeloid leukemia (TKI Resistance, Imatinib Resistance",Oncology Investigations
"ABL Kinase Domain Mutation for Ph Positive Acute Lymphoblastic leukemia (TKI Resistance, I",Oncology Investigations
ABO incompatible Transplantation,Nephrology And Urology Procedure
AC wash per eye,Ophthalmology Procedure
ADA( Adenosine deaminase),Laboratory Investigation
ALK -1,Oncology Investigations
ALK rearrangement: 2p23,Oncology Investigations
ALT-Argon laser trabeculoplasty per eye,Ophthalmology Procedure
ALTK- Automated lamellar therapeutic keratoplasty per eye,Ophthalmology Procedure
AMA (Anti Mitochondrial Antibody),Laboratory Investigation
AMH (Anti- Mullerian Hormone),Laboratory Investigation
ANA BLOT,Laboratory Investigation
ANA Profile,Laboratory Investigation
AO Compression Procedures for Fracture Neck Femur,Orthopaedics Procedure
ASO Titre /ASLO Titre,Laboratory Investigation
Abbe Operation (Abbe flap in plastic surgery of lips),ENT Procedure
Abdominal / Peritoneal Aspiration - Diagnostic/Ascitic tapping / Paracentesis -Diagnostic,General Procedure
Abdominal / Peritoneal Aspiration - Therapeutic/Ascitic tapping / Paracentesis - Therapeutic,General Procedure
Abdominal Hysterectomy with or without salpingo-oophorectomy,Obstetrics And Gynaecology Procedure
Abdominal Mass Excision,Cancer Surgery
Abdominal Neuroblastoma Excision,Cancer Surgery
Abdominal Perineal Pull Through (Hirschsprung's Disease),Paediatric Surgery Procedure
Abdomino Perineal urethroplasty,Nephrology And Urology Procedure
Abdomino-Perineal Excision of Rectum,Abdomen/GI Surgery Procedure
Abdominoperineal Resection,Cancer Surgery
Abdominosacral Resection,Cancer Surgery
Above Knee post-slab,Orthopaedics Procedure
Above elbow full plaster,Orthopaedics Procedure
Above knee full plaster,Orthopaedics Procedure
Above knee full slab,Orthopaedics Procedure
Abscess - Drainage-Dental,Dental Procedure
Absolute Eosinophil Count (AEC),Laboratory Investigation
