item_name,unit_price
3-way stopcock with 10 cm extension line,28.13
"Abdominal Belt Velcro, Cream color (Large)",240.0
"Abdominal Belt Velcro, Cream color (Medium)",240.0
"Abdominal Belt Velcro, Cream color (Small)",240.0
"Abdominal Belt Velcro, Cream color (XL)",250.0
"Abdominal Belt Velcro, Cream color (XXL)",250.0
"Abdominal Drainage Kit, Sterile (2000ml, 24 Graduate)",93.75
"Abdominal Drainage Kit, Sterile (2000ml, 28 Graduate)",93.75
Absorbent Cotton Wool IP 200 g,63.75
Absorbent Cotton Wool IP 500 g,161.25
Absorbent Cotton Wool IP 75 g,27.19
"Absorbent Gelatin Sponge, Sterilized (80mm x 50mm x 10mm)",93.75
Adhesive Surgical Paper Tape  Size 1.25cmx5m,6.56
Adhesive Surgical Paper Tape  Size 5cmx5m,24.38
Adhesive Surgical Paper Tape Size 2.5cmx5m,12.19
"Adhesive wound dressings, 25cm x 10cm",18.75
Alcohol Swab (Spirit Swab),1.03
Anklet (Tubular Support) (Extra Large),155.0
Anklet (Tubular Support) (Large),155.0
Anklet (Tubular Support) (Medium),150.0
Anklet (Tubular Support) (Small),150.0
"Arm Sling Pouch (Large), Grey",130.0
"Arm Sling Pouch (Medium), Grey",130.0
Baby Feeding Bottle 250 ml,42.19
Baby Wipes (Pack of 20 wipes),45.0
Bed Bath Towel,55.0
Blood Transfusion Set with Filter 170 Micron,16.88
"Bone Wax, Sterilised",45.0
Breathing Exerciser (3 Chambers),150.0
Cervical Collar (Extra Large),120.0
Cervical Collar (Large),120.0
Cervical Collar (Medium),120.0
Cervical Collar (Small),120.0
"Cervical Pillow (polyester, PU foam)",500.0
Chlorhexidine Gauze Dressing B.P 10cmx10cm (Sterile),11.25
"Chromic Suture (1/2 Cir Rb Needle 20mm, Length 76 cm)",75.0
"Chromic Suture (1/2 Cir Rb Needle 30mm, Length 76 cm)",42.19
"Chromic Suture (1/2 Cir Rb Needle 40mm, Length 76 cm)",42.19
"Chromic Suture (1/2 Cir Rb Needle 45mm, Length 100 cm)",46.88
"Chromic Suture (3/8 Cir Rb Needle 30mm, Length 76 cm)",42.19
