sno,procedure_name,speciality,tier,facility,ward,cghs_code,rate
14.0,"Total Red Cell count with MCV,MCH,MCHC,DRW",Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB011,50.0
28.0,Activated Partial Thromboplastin Time (APTT),Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB025,290.0
42.0,Coomb-s Test - Indirect,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB039,250.0
56.0,Body Fluid for Malignant cells,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB053,350.0
70.0,Serum Bilirubin total & direct,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB067,150.0
84.0,Immunoglobulin G (IgG),Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB081,400.0
98.0,Serum Bicarbonate,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB095,200.0
112.0,CPK MB/CK MB,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB109,360.0
126.0,"Kidney Function Test (KFT)- (Sr.Creatinine,Blood Urea,BUN,Sr.Uric Acid,Sr.Sodium,Sr.Potassium,Urine R/E)",Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB123,500.0
140.0,Serum Electrophoresis,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB137,700.0
154.0,Carcinoembryonic Antigen (CEA),Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB151,600.0
168.0,Cortisol,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB165,550.0
182.0,Hepatitis B Virus (HBV) DNA Quantitative.,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB179,3500.0
196.0,Acetylcholine receptor (AChR) antibody titre,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB193,4500.0
210.0,Anti measles antibody titre (with serum antibody titre),Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB207,1200.0
224.0,Serum aldosterone,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB221,1800.0
238.0,Insulin associated antibody,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB235,980.0
252.0,TORCH Test,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB249,1288.0
266.0,Typhidot IgM,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB263,400.0
280.0,PLA2 receptor antibody quantitative,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB277,4200.0
294.0,Autoimmune Hepatitis Profile,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB291,2960.0
308.0,Inhibin B,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB305,1900.0
322.0,Comprehensive Allergy Panel,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB319,7000.0
336.0,Chikungunya Ig M,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB333,1000.0
350.0,Stress Cardiac MRI,Radiological Investigation,TIER I,NABH,GENERAL WARD,RI012,9200.0
724.0,Lumbar Traction (per session),Physiotherapy,TIER I,NABH,GENERAL WARD,PT002,300.0
778.0,Re-RCT - Posterior,Dental Procedure,TIER I,NABH,GENERAL WARD,DP033,3000.0
792.0,Crown - Removal,Dental Procedure,TIER I,NABH,GENERAL WARD,DP047,500.0
806.0,Removable Partial Denture - Flexible Per Arch,Dental Procedure,TIER I,NABH,GENERAL WARD,DP061,7500.0
820.0,Functional orthodontic appliance,Dental Procedure,TIER I,NABH,GENERAL WARD,DP075,6000.0
834.0,Oroantral Fistula closure,Dental Procedure,TIER I,NABH,GENERAL WARD,DP089,5000.0
848.0,Sub-Total mandibulectomy without graft,Dental Procedure,TIER I,NABH,GENERAL WARD,DP103,28500.0
