sno,procedure_name,speciality,tier,facility,ward,cghs_code,rate
1,11 Cells Panel for Antibody Identification,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB041,2285.0
2,131-Iodine Therapy 15-50mCi,Radio-Isotope Therapy,TIER,NABH,GENERAL,IT006,11160.0
3,131-Iodine Therapy 51-100mCi,Radio-Isotope Therapy,TIER,NABH,GENERAL,IT002,14320.0
4,131-Iodine Therapy <15mCi,Radio-Isotope Therapy,TIER,NABH,GENERAL,IT005,7410.0
5,131-Iodine Therapy >100mCi,Radio-Isotope Therapy,TIER,NABH,GENERAL,IT003,19775.0
6,17 Hydroxyprogesterone (17 OH Progesterone),Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB170,750.0
7,1st trimester scan-dating scan/NT scan/Early pregnancy scan,Radiological Investigation,TIER I,NABH,GENERAL WARD,RI016,700.0
8,24 Hr urinary aldosterone,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB222,1500.0
9,"24 Hrs Urine for Proteins, Sodium, Creatinine",Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB056,300.0
10,24-hour urinary free cortisol,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB232,750.0
11,2D Transoesophageal Echocardiography (TEE),Radiological Investigation,TIER I,NABH,GENERAL WARD,RI003,1650.0
12,2D echocardiography,Radiological Investigation,TIER I,NABH,GENERAL WARD,RI001,1475.0
13,3 Cell Panel- Antibody Screening for Pregnant Female,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB040,1050.0
14,30% to 50% Burns 1st Dressing,Burns And Plastic Surgery Procedure,TIER I,NABH,GENERAL WARD,BP036,5000.0
15,30% to 50% Burns Subsequent Dressing,Burns And Plastic Surgery Procedure,TIER I,NABH,GENERAL WARD,BP037,3500.0
16,3D Transoesophageal Echocardiography (TEE),Radiological Investigation,TIER I,NABH,GENERAL WARD,RI004,1650.0
17,6 Minute Walk Test Pulmonology Investigation,,TIER I,NABH,GENERAL WARD,PI004,500.0
18,90 D lens examination/Three mirror examination for retina - Both Eyes,Ophthalmology Investigation,TIER I,NABH,GENERAL WARD,OI021,150.0
19,"A, B, DR Molecular Typing PCR - SSP",Oncology Investigations,TIER I,NABH,GENERAL WARD,CA001,10315.0
20,"ABL Kinase Domain Mutation for Chronic Myeloid leukemia (TKI Resistance, Imatinib Resistance",Oncology Investigations,TIER I,NABH,GENERAL WARD,CA002,8100.0
21,"ABL Kinase Domain Mutation for Ph Positive Acute Lymphoblastic leukemia (TKI Resistance, I",Oncology Investigations,TIER I,NABH,GENERAL WARD,CA003,8100.0
